Timestamp,Speed_kmh,Accel_ms2,Raw_RPM,Filtered_RPM,Brake_State,Control_Mode
2026-06-12 19:12:10.567,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:10.617,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:10.670,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:10.718,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:10.768,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:10.819,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:10.873,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:10.920,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:10.971,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.022,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.071,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.121,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.172,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.222,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.273,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.323,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.373,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.425,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.474,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.530,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.575,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.625,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.676,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.726,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.777,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.827,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.878,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.928,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:11.978,0.29,0.00,8.75,2.62,1,0
2026-06-12 19:12:12.029,0.29,0.00,8.75,2.62,1,0
