Timestamp,Speed_kmh,Accel_ms2,Raw_RPM,Filtered_RPM,Brake_State,Control_Mode
2026-06-11 20:03:45.115,0.00,0.00,0.00,0.00,0,0
2026-06-11 20:03:45.166,0.00,0.00,0.00,0.00,0,2
2026-06-11 20:03:45.216,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.266,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.317,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.367,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.418,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.468,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.518,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.569,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.619,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.670,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.720,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.770,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.821,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.871,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.921,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:45.972,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.022,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.073,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.124,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.177,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.224,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.274,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.325,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.376,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.425,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.476,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.526,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.576,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.627,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.677,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.727,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.778,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.828,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.879,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.929,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:46.979,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.030,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.080,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.131,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.181,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.231,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.282,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.332,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.382,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.433,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.484,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.534,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.584,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.634,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.685,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.735,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.785,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.836,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.886,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.937,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:47.987,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.037,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.088,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.138,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.189,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.239,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.289,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.340,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.390,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.440,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.491,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.541,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.591,0.00,0.00,0.00,0.00,2,0
2026-06-11 20:03:48.642,0.00,0.00,0.00,0.00,2,0
