Timestamp,Speed_kmh,Accel_ms2,Raw_RPM,Filtered_RPM,Brake_State,Control_Mode
2026-06-12 18:08:10.885,0.00,0.00,0.00,0.00,0,0
2026-06-12 18:08:10.935,0.00,0.00,0.00,0.00,0,2
2026-06-12 18:08:10.985,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.036,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.086,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.138,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.187,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.237,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.288,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.338,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.389,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.439,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.490,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.540,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.590,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.640,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.691,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.741,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.792,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.842,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.892,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.943,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:11.993,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.044,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.094,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.144,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.195,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.245,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.296,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.346,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.396,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.447,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.497,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.548,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.598,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.649,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.700,0.00,0.00,0.00,0.00,2,0
2026-06-12 18:08:12.749,0.00,0.00,0.00,0.00,2,0
